ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"103.210.35.62","elite","AS59151","ID","Diskominfo DIY","196","Bidang Layanan Teknologi dan Informasi Dinas Perhubungan","4145","socks4","4499","1","2023-10-13T14:57:13.093Z","99","4237","4290"
"45.251.231.113","elite","AS59362","BD","KS Network","203","Nazmul Karim Bhuiyan","5678","socks4","3108","1","2023-10-13T14:57:13.176Z","99","4320","4362"
"117.26.40.156","elite","AS4134","CN","Chinanet","289","Chinanet FJ","2829","socks4","1302","2","2023-10-13T14:57:13.177Z","64","2776","4346"
"103.240.33.145","elite","AS132923","IN","Vihaan Telecommunication Pvt. Ltd.","157","Vihaan","8291","socks4","4804","1","2023-10-13T14:57:03.585Z","99","4221","4275"
"205.164.66.7","elite","AS268200","BR","AGIS","214","Live Telecomunicacoes Ltda","4153","socks4","4804","1","2023-10-13T14:57:03.587Z","99","4337","4383"
"103.47.93.237","elite","AS134058","IN","Broban Internet Services Pvt.ltd","193","Broban  PVT Ltd.","1080","socks4","1986","1","2023-10-13T14:57:03.586Z","99","4365","4397"
"131.0.143.1","elite","AS61885","BR","Mgnetmoc Ltda","218","Mgnetmoc Ltda","4145","socks4","4401","1","2023-10-13T14:57:03.588Z","99","4286","4345"
"8.219.11.125","elite","AS45102","SG","Alibaba (US) Technology Co., Ltd.","389","Alibaba.com Singapore E-Commerce Private Limited","443","socks5","4796","1","2023-10-13T14:56:53.888Z","67","2923","4342"
"91.185.236.24","elite","AS21487","RU","Sakhatelecom","193","N/A","21487","socks4","4711","84","2023-10-13T14:56:53.884Z","96","4160","4345"
"124.105.187.68","elite","AS9299","PH","Philippine Long Distance Telephone Co.","294","Philippine Long Distance Telephone Company","13629","socks4","4907","1","2023-10-13T14:56:53.886Z","97","4159","4269"
"51.89.16.111","elite","AS16276","GB","OVH SAS","96","OVH","49528","socks4","5282","1","2023-10-13T14:56:53.979Z","100","4254","4256"
"186.251.254.253","elite","AS267513","BR","Seanet Telecom Carazinho Eireli","284","Seanet Telecom Carazinho Eireli","31337","socks4","4907","1","2023-10-13T14:56:53.887Z","100","4334","4347"
"103.120.202.53","elite","AS63526","BD","Carnival Internet","280","N/A","5678","socks4","4796","1","2023-10-13T14:56:53.884Z","95","4063","4264"
"51.81.31.169","elite","AS16276","US","OVH SAS","80","OVH US LLC","4485","socks4","5096","1","2023-10-13T14:56:53.886Z","100","4331","4331"
"104.19.83.128","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","5005","1","2023-10-13T14:56:53.885Z","100","4230","4230"
"191.241.145.23","elite","AS262784","BR","SATURNO COMUNICAÇÕES LTDA","200","SATURNO COMUNICAÇÕES LTDA","4153","socks5","3403","1","2023-10-13T14:56:43.786Z","98","4164","4248"
"177.87.230.31","elite","AS262309","BR","BMBB SERVIÇOS DE COMUNICAÇÃO LTDA","200","BMBB SERVIÇOS DE COMUNICAÇÃO LTDA","43573","socks4","4900","1","2023-10-13T14:56:43.788Z","100","4356","4368"
"213.96.91.165","elite","AS3352","ES","Telefonica De Espana SAU","93","TDENET (Red de servicios IP)","4153","socks4","4405","1","2023-10-13T14:56:34.193Z","96","4250","4406"
"45.137.155.126","elite","AS44477","UA","Stark Industries Solutions LTD","43","Stark Industries Solutions LTD","12345","socks4","2695","1","2023-10-13T14:56:34.192Z","76","3312","4332"
